0.30,0,0.45
0.53,1,0.67
0.75,0,0.82
1.43,0,1.50
1.50,1,1.57
1.65,1,1.72
1.88,0,1.95
1.95,1,2.10
2.17,0,2.25
2.32,1,2.48
2.55,0,2.62
3.60,0,3.75
3.82,1,3.90
3.97,1,4.05
4.12,0,4.20
4.20,1,4.35
4.42,2,4.65
4.72,1,4.80
8.32,1,8.40
8.47,0,8.55
8.55,1,8.62
8.70,0,8.85
8.92,0,9.00
9,1,9.07
9.15,1,9.30
9.30,0,9.45
9.45,1,9.52
9.60,1,9.90
22.20,1,22.35
22.35,0,22.42
22.80,0,22.88
23.02,1,23.10
23.25,1,23.32
23.40,0,23.47
24.75,0,24.82
24.82,1,25.05
33.38,1,33.45
33.52,0,33.60
34.80,0,34.95
35.02,1,35.10
35.10,0,35.18
35.25,1,35.33
