13.20,0,18.15
19.35,0,19.50
19.65,1,0
19.80,0,0
20.10,0,20.25
20.32,0,0
20.40,1,0
20.55,1,20.70
20.77,0,0
20.93,0,0
21,1,21.38
21.38,0,0
23.55,0,0
23.77,0,0
23.85,1,0
23.93,0,0
24.15,0,24.38
28.50,0,30.30
31.05,1,31.57
31.57,0,0
31.65,1,32.10
31.95,0,32.48
32.55,0,0
38.40,0,0
38.48,1,0
38.77,0,0
38.85,1,0
39.90,0,0
39.98,1,40.35
40.42,0,0
41.55,1,0
41.62,0,0
41.85,0,0
42,1,42.23
42.30,0,42.45
42.52,0,42.75
42.75,1,0
42.98,1,0
43.12,0,0
43.27,0,0
43.50,1,0
43.57,0,0
43.73,0,0
43.80,1,0
43.88,0,44.10
